                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8369,                 3.9496,                 4.2963,                0.00056,                0.00862,                0.00029,                  3e-05,                 3.5885,                 3.9388,                 4.1589,                      0,                      0,                      0
                      2,                 3.9518,                 3.9824,                 4.2966,                0.00055,                0.00862,                0.00028,                  9e-05,                 3.5886,                 3.9384,                 4.1589,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 3.8916,                 3.9608,                 4.3099,                0.00056,                0.00862,                0.00029,                  3e-05,                 3.5887,                 3.9381,                 4.1589,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 4.1832,                 3.9707,                 4.3097,                0.00112,                0.01724,                 0.0006,                  9e-05,                 3.5888,                 3.9378,                 4.1588,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 4.1299,                 3.9575,                 4.2731,                0.00056,                0.00862,                0.00029,                  3e-05,                 3.5889,                 3.9376,                 4.1587,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 3.8018,                 3.8807,                 4.3222,                0.00111,                0.01724,                0.00059,                0.00014,                 3.5889,                 3.9375,                 4.1586,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 3.8073,                 3.9102,                 4.2788,                0.00055,                0.00862,                0.00029,                  9e-05,                  3.589,                 3.9375,                 4.1584,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 4.1189,                 3.8783,                 4.2804,                0.00221,                0.03448,                0.00119,                0.00032,                  3.589,                 3.9376,                 4.1581,              0.0001086,              0.0001086,              0.0001086
                      9,                 4.1524,                 3.8578,                 4.2794,                0.00055,                0.00862,                0.00029,                  3e-05,                 3.5891,                  3.938,                 4.1578,              0.0001228,              0.0001228,              0.0001228
                     10,                 3.9752,                 3.8313,                 4.2806,                0.00055,                0.00862,                0.00029,                  3e-05,                 3.5892,                 3.9385,                 4.1574,             0.00013666,             0.00013666,             0.00013666
                     11,                 3.7106,                 3.7863,                 4.2466,                0.00109,                0.01724,                0.00057,                0.00017,                 3.5893,                 3.9392,                  4.157,              0.0001502,              0.0001502,              0.0001502
                     12,                 3.7324,                 3.7104,                 4.2507,                 0.0022,                0.03448,                0.00124,                 0.0003,                 3.5895,                 3.9402,                 4.1564,              0.0001634,              0.0001634,              0.0001634
                     13,                 3.8151,                 3.7821,                 4.2077,                0.00055,                0.00862,                0.00028,                  3e-05,                 3.5896,                 3.9413,                 4.1558,             0.00017628,             0.00017628,             0.00017628
                     14,                 3.7681,                 3.7329,                  4.208,                0.00055,                0.00862,                0.00029,                  6e-05,                 3.5898,                 3.9427,                 4.1551,             0.00018882,             0.00018882,             0.00018882
                     15,                 3.7239,                  3.713,                 4.2121,                0.00221,                0.03448,                0.00119,                 0.0003,                 3.5905,                 3.9435,                 4.1543,             0.00020103,             0.00020103,             0.00020103
                     16,                  3.549,                 3.6227,                 4.2081,                0.00164,                0.02586,                0.00091,                0.00012,                 3.5906,                 3.9452,                 4.1534,             0.00021292,             0.00021292,             0.00021292
                     17,                 3.7125,                 3.6069,                 4.2258,                0.00216,                0.03448,                0.00117,                0.00037,                 3.5908,                 3.9472,                 4.1524,             0.00022447,             0.00022447,             0.00022447
                     18,                 3.6449,                 3.5777,                 4.1948,                0.00216,                0.03448,                0.00117,                0.00037,                 3.5908,                 3.9472,                 4.1524,              0.0002357,              0.0002357,              0.0002357
                     19,                 3.4572,                 3.4935,                 4.2128,                0.00217,                0.03448,                0.00119,                0.00035,                 3.5915,                 3.9512,                 4.1507,             0.00024659,             0.00024659,             0.00024659
                     20,                 3.8186,                 3.5459,                 4.1695,                0.00217,                0.03448,                0.00119,                0.00035,                 3.5915,                 3.9512,                 4.1507,             0.00025715,             0.00025715,             0.00025715
                     21,                 3.7681,                   3.52,                 4.1563,                 0.0011,                0.01724,                0.00059,                 0.0002,                 3.5924,                 3.9559,                 4.1488,             0.00026739,             0.00026739,             0.00026739
                     22,                 3.7026,                 3.4903,                 4.1346,                 0.0011,                0.01724,                0.00059,                 0.0002,                 3.5924,                 3.9559,                 4.1488,             0.00027729,             0.00027729,             0.00027729
                     23,                 3.7238,                 3.4271,                 4.1355,                0.00219,                0.03448,                0.00121,                0.00039,                  3.594,                 3.9604,                 4.1469,             0.00028686,             0.00028686,             0.00028686
                     24,                 3.5148,                 3.4451,                 4.1483,                0.00219,                0.03448,                0.00121,                0.00039,                  3.594,                 3.9604,                 4.1469,             0.00029611,             0.00029611,             0.00029611
                     25,                 3.7066,                 3.3959,                 4.1418,                0.00219,                0.03448,                0.00124,                0.00036,                 3.5957,                 3.9654,                 4.1448,             0.00030502,             0.00030502,             0.00030502
                     26,                 3.5983,                  3.368,                 4.0814,                0.00219,                0.03448,                0.00124,                0.00036,                 3.5957,                 3.9654,                 4.1448,              0.0003136,              0.0003136,              0.0003136
